Date,Sandisk (Price),Sandisk (Volume),AAPL (Price),AAPL (Volume)
2022-12-15,,,134.4713134765625,98931900
2022-12-16,,,132.51089477539062,160156900
2022-12-19,,,130.40269470214844,79592600
2022-12-20,,,130.333740234375,77432800
2022-12-21,,,133.4369354248047,85928000
2022-12-22,,,130.26480102539062,77852100
2022-12-23,,,129.90028381347656,63814900
2022-12-27,,,128.0974884033203,69007800
2022-12-28,,,124.16678619384766,85438400
2022-12-29,,,127.68374633789062,75703700
2022-12-30,,,127.99898529052734,77034200
2023-01-03,,,123.2112045288086,112117500
2023-01-04,,,124.48202514648438,89113600
2023-01-05,,,123.16194915771484,80962700
2023-01-06,,,127.69357299804688,87754700
2023-01-09,,,128.21571350097656,70790800
2023-01-10,,,128.78707885742188,63896200
2023-01-11,,,131.50607299804688,69458900
2023-01-12,,,131.42727661132812,71379600
2023-01-13,,,132.75717163085938,57809700
2023-01-17,,,133.9196319580078,63646600
2023-01-18,,,133.20050048828125,69672800
2023-01-19,,,133.25961303710938,58280400
2023-01-20,,,135.82095336914062,80223600
2023-01-23,,,139.0128173828125,81760300
2023-01-24,,,140.4116973876953,66435100
2023-01-25,,,139.75169372558594,65799300
2023-01-26,,,141.8204803466797,54105100
2023-01-27,,,143.7611541748047,70555800
2023-01-30,,,140.87474060058594,64015300
2023-01-31,,,142.14553833007812,65874500
2023-02-01,,,143.26861572265625,77663600
2023-02-02,,,148.5784912109375,118339000
2023-02-03,,,152.20379638671875,154357300
2023-02-06,,,149.47499084472656,69858300
2023-02-07,,,152.35157775878906,83322600
2023-02-08,,,149.66217041015625,64120100
2023-02-09,,,148.6278076171875,56007100
2023-02-10,,,148.99281311035156,57450700
2023-02-13,,,151.79489135742188,62199000
2023-02-14,,,151.15357971191406,61707600
2023-02-15,,,153.25511169433594,65573800
2023-02-16,,,151.65676879882812,68167900
2023-02-17,,,150.51223754882812,59144100
2023-02-21,,,146.49661254882812,58867200
2023-02-22,,,146.92088317871094,51011300
2023-02-23,,,147.4043426513672,48394200
2023-02-24,,,144.75027465820312,55469600
2023-02-27,,,145.944091796875,44998500
2023-02-28,,,145.44090270996094,50547000
2023-03-01,,,143.36892700195312,55479000
2023-03-02,,,143.96095275878906,52238100
2023-03-03,,,149.0125732421875,70732300
2023-03-06,,,151.77517700195312,87558000
2023-03-07,,,149.57493591308594,56182000
2023-03-08,,,150.82798767089844,47204800
2023-03-09,,,148.57839965820312,53833600
2023-03-10,,,146.516357421875,68572400
2023-03-13,,,148.4600372314453,84457100
2023-03-14,,,150.55174255371094,73695900
2023-03-15,,,150.9464111328125,77167900
2023-03-16,,,153.76815795898438,76161100
2023-03-17,,,152.92953491210938,98944600
2023-03-20,,,155.29745483398438,73641400
2023-03-21,,,157.1523895263672,73938300
2023-03-22,,,155.72171020507812,75701800
2023-03-23,,,156.80702209472656,67622100
2023-03-24,,,158.10940551757812,59196500
2023-03-27,,,156.16571044921875,52390300
2023-03-28,,,155.54412841796875,45992200
2023-03-29,,,158.62245178222656,51305700
2023-03-30,,,160.19122314453125,49501700
2023-03-31,,,162.69728088378906,68749800
2023-04-03,,,163.95028686523438,56976200
2023-04-04,,,163.41754150390625,46278300
2023-04-05,,,161.57249450683594,51511700
2023-04-06,,,162.4604949951172,45390100
2023-04-10,,,159.86563110351562,47716900
2023-04-11,,,158.6520538330078,47644200
2023-04-12,,,157.96144104003906,50133100
2023-04-13,,,163.34844970703125,68445600
2023-04-14,,,163.00314331054688,49386500
