Date,엔비디아 (Close),엔비디아 (Volume),Sandisk (Close),Sandisk (Volume)
2025-07-10,164.09075927734375,167704100,46.95000076293945,1734300.0
2025-07-11,164.91070556640625,193633300,46.09000015258789,1242000.0
2025-07-14,164.06076049804688,136975800,42.47999954223633,5486900.0
2025-07-15,170.69036865234375,230627400,42.720001220703125,2398200.0
2025-07-16,171.36033630371094,158831500,41.36000061035156,2338400.0
2025-07-17,172.99024963378906,160841100,41.52000045776367,2290100.0
2025-07-18,172.40028381347656,146456400,42.189998626708984,1678600.0
2025-07-21,171.37034606933594,123126100,41.61000061035156,2174200.0
2025-07-22,167.0205841064453,193114300,41.36000061035156,1846700.0
2025-07-23,170.77037048339844,154082200,43.0,2220800.0
2025-07-24,173.73020935058594,128984600,42.060001373291016,1347100.0
2025-07-25,173.49021911621094,122316800,42.47999954223633,869200.0
2025-07-28,176.7400360107422,140023500,41.88999938964844,851300.0
2025-07-29,175.50009155273438,154077500,42.93000030517578,1202600.0
2025-07-30,179.25990295410156,174312200,43.38999938964844,1334800.0
2025-07-31,177.85997009277344,221685400,42.91999816894531,1849200.0
2025-08-01,173.710205078125,204529000,41.33000183105469,1661800.0
2025-08-04,179.98985290527344,148174600,42.5099983215332,1540000.0
2025-08-05,178.24993896484375,156407600,41.93000030517578,1422900.0
2025-08-06,179.40988159179688,137192300,42.099998474121094,1553800.0
2025-08-07,180.7598114013672,151878400,40.689998626708984,2207200.0
2025-08-08,182.689697265625,123396700,44.34000015258789,3516500.0
2025-08-11,182.0497283935547,138323200,43.369998931884766,3095000.0
2025-08-12,183.14967346191406,145485700,46.83000183105469,3204500.0
2025-08-13,181.5797576904297,179871700,47.0099983215332,2348500.0
2025-08-14,182.00973510742188,129554000,46.68000030517578,3549300.0
2025-08-15,180.4398193359375,156602200,44.540000915527344,7519200.0
2025-08-18,181.99972534179688,132008000,45.52000045776367,2541700.0
2025-08-19,175.63009643554688,185229200,44.58000183105469,2372900.0
2025-08-20,175.39010620117188,215142700,44.400001525878906,1526800.0
2025-08-21,174.97012329101562,140040900,45.5,1802300.0
2025-08-22,177.97996520996094,172789400,46.369998931884766,2208300.0
2025-08-25,179.79986572265625,163012800,46.779998779296875,1318100.0
2025-08-26,181.75975036621094,168688200,47.349998474121094,2577800.0
2025-08-27,181.5897674560547,235518900,48.439998626708984,2145100.0
2025-08-28,180.1598358154297,281787800,50.869998931884766,2919400.0
2025-08-29,174.170166015625,243257900,52.470001220703125,4228000.0
2025-09-02,170.77037048339844,231164900,51.06999969482422,2023400.0
2025-09-03,170.61038208007812,164424900,53.0099983215332,1689700.0
2025-09-04,171.65032958984375,141670100,62.5,10189000.0
2025-09-05,167.01058959960938,224441400,68.55000305175781,9050000.0
2025-09-08,168.30050659179688,163769100,70.49500274658203,5869100.0
2025-09-09,170.7503662109375,157548400,70.51000213623047,3364300.0
2025-09-10,177.32000732421875,226852000,73.91999816894531,4053000.0
2025-09-11,177.1699981689453,151159300,84.30000305175781,10167400.0
2025-09-12,177.82000732421875,124911000,86.12999725341797,5641700.0
2025-09-15,177.75,147061600,90.08999633789062,8981300.0
2025-09-16,174.8800048828125,140737800,91.55000305175781,6292100.0
2025-09-17,170.2899932861328,211843800,93.97000122070312,7031000.0
2025-09-18,176.24000549316406,191763300,98.87000274658203,9441900.0
2025-09-19,176.6699981689453,237182100,102.20999908447266,6459900.0
2025-09-22,183.61000061035156,269637000,102.91999816894531,7692200.0
2025-09-23,178.42999267578125,192559600,106.4000015258789,7835000.0
2025-09-24,176.97000122070312,143564100,99.83000183105469,12409300.0
2025-09-25,177.69000244140625,191586700,94.29000091552734,10569300.0
2025-09-26,178.19000244140625,148573700,97.12000274658203,6418000.0
2025-09-29,181.85000610351562,193063500,113.5,12435400.0
2025-09-30,186.5800018310547,236981000,112.19999694824219,11414800.0
2025-10-01,187.24000549316406,173844900,121.12000274658203,12237400.0
2025-10-02,188.88999938964844,136805800,124.13999938964844,9453400.0
2025-10-03,187.6199951171875,137596900,128.41000366210938,10193700.0
2025-10-06,185.5399932861328,157678100,121.16999816894531,9963900.0
2025-10-07,185.0399932861328,140088000,120.94999694824219,6594600.0
2025-10-08,189.11000061035156,130168900,131.8800048828125,7173400.0
2025-10-09,192.57000732421875,182997200,129.67999267578125,3561500.0
2025-10-10,183.16000366210938,268774400,116.91000366210938,7860200.0
2025-10-13,188.32000732421875,153482800,134.61000061035156,8297300.0
2025-10-14,180.02999877929688,205641400,127.29000091552734,7078600.0
2025-10-15,179.8300018310547,214450500,144.3000030517578,8971100.0
2025-10-16,181.80999755859375,179723300,144.27000427246094,6289600.0
2025-10-17,183.22000122070312,173135200,140.16000366210938,8279800.0
2025-10-20,182.63999938964844,128544700,148.0399932861328,6626100.0
2025-10-21,181.16000366210938,124240200,149.2899932861328,4177900.0
2025-10-22,180.27999877929688,162249600,146.9499969482422,7516800.0
2025-10-23,182.16000366210938,111363700,167.0500030517578,9011400.0
2025-10-24,186.25999450683594,131296700,186.16000366210938,10653100.0
2025-10-27,191.49000549316406,153452700,176.49000549316406,11235500.0
2025-10-28,201.02999877929688,297986200,175.52999877929688,9140800.0
2025-10-29,207.0399932861328,308829600,204.36000061035156,9365000.0
2025-10-30,202.88999938964844,178864400,195.82000732421875,7341500.0
